team,color,alt_color,tertiary,fourth,fifth,sixth,abbr,conf,sub,group,espn_id,pff_id,team_id,p1,p2,
Wofford,#000000,#886E4C,,,,,WOF,SC,FCS,FCS,2747,SCWO,2125,D:/NCAA_Images/FCS/_primary/Wofford.p1_500.png,D:/NCAA_Images/FCS/_primary/Wofford.p2_500.png,
Yale,#00356B,#FFFFFF,,,,,YALE,IVY,FCS,FCS,43,CTYA,2126,D:/NCAA_Images/FCS/_primary/Yale.p1_500.png,D:/NCAA_Images/FCS/_primary/Yale.p2_500.png,
Youngstown State,#C8102E,#000000,,,,,YSU,MVC,FCS,FCS,2754,OHYO,2127,D:/NCAA_Images/FCS/_primary/Youngstown_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Youngstown_State.p2_500.png,
,,,,,,,,,,,,FLJA,,,,
AAC,#041E41,#EE2231A,,,,,AAC,FBS,,,,,,,,
ACC,#013CA6,#A5A9AB,,,,,ACC,FBS,,,,,,,,
B1G,#0088CE,#000000,,,,,B1G,FBS,,,,,,,,
B12,#C41230,#FFFFFF,,,,,B12,FBS,,,,,,,,
PAC,#004B91,#00274D,,,,,PAC,FBS,,,,,,,,
SEC,#002D72,#FCD647,,,,,SEC,FBS,,,,,,,,
CUSA,#003865,#A6192E,,,,,CUSA,FBS,,,,,,,,
MAC,#0C2340,#009A44,,,,,MAC,FBS,,,,,,,,
MWC,#582C83,#B5B0AD,,,,,MWC,FBS,,,,,,,,
SBC,#0C2340,#F2A900,,,,,SBC,FBS,,,,,,,,
